company,unit,page,section,item,con_cur,con_prev,sep_cur,sep_prev,trap,_concept_hint,_note
SCB,thousand,7,,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,5740942,6575175,5628419,6559945,long_name,ECL,
SCB,thousand,7,,กำไรสุทธิ,10870703,12263524,10125326,11631724,normal,NET_PROFIT,
SCB,thousand,8,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จรวม,ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,19972,14374,,,long_name,TCI_ATTRIB_NCI,
SCB,thousand,8,กำไรต่อหุ้นของผู้ถือหุ้นธนาคาร,กำไรต่อหุ้นขั้นพื้นฐาน (บาท),3.19,3.6,2.98,3.42,decimal,EPS,
SCB,thousand,7,,กำไรสุทธิจากเครื่องมือทางการเงินที่วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรหรือขาดทุน,2973666,3084903,2929706,3090931,long_name,,
SCB,thousand,7,,รวมรายได้จากการดำเนินงาน,32151237,35323839,30547894,34013267,subtotal,,
SCB,thousand,7,,รวมค่าใช้จ่ายจากการดำเนินงานอื่น ๆ,12833351,13414452,12285778,12889865,subtotal,,
SCB,thousand,8,กำไรขาดทุนเบ็ดเสร็จอื่น,กำไร (ขาดทุน) จากการวัดมูลค่าเงินลงทุนในตราสารหนี้ด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,-4700383,1231382,-4700383,1231382,parentheses,,
SCB,thousand,8,กำไรขาดทุนเบ็ดเสร็จอื่น,กำไร (ขาดทุน) จากการแปลงค่างบการเงินจากการดำเนินงานในต่างประเทศ,-71736,7523,-357860,21743,parentheses,,
SCB,thousand,8,กำไรขาดทุนเบ็ดเสร็จอื่น,ภาษีเงินได้เกี่ยวกับองค์ประกอบของกำไรขาดทุนเบ็ดเสร็จอื่นสำหรับรายการที่จัดประเภทรายการใหม่เข้าไปไว้ในกำไรหรือขาดทุนในภายหลัง,940077,-246276,940077,-246276,parentheses,,
SCB,thousand,8,กำไรขาดทุนเบ็ดเสร็จอื่น,กำไรจากเงินลงทุนในตราสารทุนที่กำหนดให้วัดมูลค่าด้วยมูลค่ายุติธรรมผ่านกำไรขาดทุนเบ็ดเสร็จอื่น,1127,24112,1127,24112,normal,,
SCB,thousand,8,กำไรขาดทุนเบ็ดเสร็จอื่น,กำไร (ขาดทุน) จากการประมาณการตามหลักคณิตศาสตร์ประกันภัยสำหรับโครงการผลประโยชน์ของพนักงาน,36536,,-150464,,parentheses,,
SCB,thousand,8,กำไรขาดทุนเบ็ดเสร็จอื่น,รวมกำไรขาดทุนเบ็ดเสร็จอื่นสุทธิจากภาษี,-3801911,1011918,-4237636,1026138,subtotal,,
SCB,thousand,8,กำไรขาดทุนเบ็ดเสร็จอื่น,กำไรขาดทุนเบ็ดเสร็จรวม,7068792,13275442,5887690,12657862,subtotal,,
