company,unit,page,item,con_cur,con_prev,sep_cur,sep_prev,trap
MFEC,thousand,3,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,7704,-22542,742,-29504,parentheses
MFEC,thousand,3,รวมส่วนของผู้ถือหุ้น,2715183,2610899,2483329,2384590,subtotal
MFEC,thousand,3,รวมหนี้สินและส่วนของผู้ถือหุ้น,6253224,6644631,5688694,6107380,subtotal
GABLE,thousand,3,เงินสดและรายการเทียบเท่าเงินสด,1341228,1687287,761584,1022940,normal
GABLE,thousand,3,รายได้ที่ยังไม่เรียกชำระ,905051,775952,837678,700389,normal
GABLE,thousand,3,สินค้าคงเหลือ,37379,13163,37558,13194,normal
GABLE,thousand,3,สินทรัพย์ภาษีเงินได้ของงวดปัจจุบัน,15621,77774,10678,58873,normal
GABLE,thousand,3,เงินให้กู้ยืมระยะสั้นแก่บริษัทย่อย,,,37500,37500,dash_empty
GABLE,thousand,3,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น,704121,973329,629427,825004,note_col
GABLE,thousand,3,ต้นทุนบริการและค่าใช้จ่ายอื่นจ่ายล่วงหน้า,2303144,2360955,2152591,2168936,long_name
GABLE,thousand,3,สินทรัพย์ทางการเงินหมุนเวียนอื่น,14450,10342,3539,,dash_empty
GABLE,thousand,3,เงินฝากธนาคารที่มีภาระค้ำประกัน,100,100,,,small_num
GABLE,thousand,3,รวมสินทรัพย์หมุนเวียน,5334136,5916519,4478251,4838820,subtotal
GABLE,thousand,3,รวมสินทรัพย์ไม่หมุนเวียน,867610,800244,925559,877404,subtotal
GABLE,thousand,3,รวมสินทรัพย์,6201746,6716763,5403810,5716224,subtotal
GABLE,thousand,4,หนี้สินทางการเงินหมุนเวียนอื่น,,4121,,2695,dash_empty
GABLE,thousand,4,ภาษีเงินได้นิติบุคคลค้างจ่าย,3638,3008,,,dash_empty
GABLE,thousand,4,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,18390,17953,14580,14207,long_name
GABLE,thousand,4,รวมหนี้สินหมุนเวียน,3426814,4029080,2873674,3371148,subtotal
GABLE,thousand,4,รวมหนี้สิน,3793851,4395877,3179914,3674055,subtotal
GABLE,thousand,5,"หุ้นสามัญ 707,500,000 หุ้น มูลค่าหุ้นละ 1 บาท",707500,707500,707500,707500,long_num
GABLE,thousand,5,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,-69,-187,,,parentheses
GABLE,thousand,5,สำรองส่วนทุนจากการจ่ายโดยใช้หุ้นเป็นเกณฑ์,8044,8030,7969,7969,small_num
GABLE,thousand,5,รวมส่วนของผู้ถือหุ้น,2407895,2320886,2223896,2042169,subtotal
GABLE,thousand,5,รวมหนี้สินและส่วนของผู้ถือหุ้น,6201746,6716763,5403810,5716224,subtotal
BBIK,baht,3,เงินสดและรายการเทียบเท่าเงินสด,700025591,594139290,306921306,224439290,normal
BBIK,baht,3,งานบริการระหว่างทำ,19597429,17606494,5717093,4764396,normal
BBIK,baht,3,สินทรัพย์ภาษีเงินได้รอตัดบัญชี,30326410,28125102,6386390,5963542,normal
BBIK,baht,3,สินทรัพย์หมุนเวียนอื่น,10326600,11592110,3874193,7583578,thai_digit
BBIK,baht,3,สินทรัพย์ไม่หมุนเวียนอื่น,16138617,16593908,2932097,2928026,thai_digit
BBIK,baht,3,เงินให้กู้ยืมระยะสั้นแก่กิจการที่เกี่ยวข้องกัน,,,6000000,6000000,dash_empty
BBIK,baht,3,เงินลงทุนในบริษัทย่อย,,,1406161961,1406161961,dash_empty
BBIK,baht,3,ต้นทุนในการได้มาซึ่งสัญญาที่ทำกับลูกค้า - หมุนเวียน,279635,638411,,,long_name
BBIK,baht,3,ส่วนของเงินฝากสถาบันการเงินที่มีภาระผูกพันที่ถึงกำหนดไถ่ถอนภายในหนึ่งปี,9763675,9763675,9763675,9763675,long_name
BBIK,baht,3,สินทรัพย์ที่เกิดจากสัญญา - หมุนเวียน,329299230,320022313,274556114,286527279,note_col
BBIK,baht,3,รวมสินทรัพย์หมุนเวียน,1287263838,1297923791,775849320,774108174,subtotal
BBIK,baht,3,รวมสินทรัพย์ไม่หมุนเวียน,1359289257,1347453467,1545480381,1545717152,subtotal
BBIK,baht,3,รวมสินทรัพย์,2646553095,2645377258,2321329701,2319825326,long_num
BBIK,baht,4,เจ้าหนี้การค้าและเจ้าหนี้หมุนเวียนอื่น,84253610,158082646,185853215,209463451,normal
BBIK,baht,4,หนี้สินหมุนเวียนอื่น,15991753,23549725,8463968,13711091,normal
BBIK,baht,4,เงินเบิกเกินบัญชีจากสถาบันการเงิน,,668,,668,small_num
BBIK,baht,4,ภาษีเงินได้ค้างจ่าย,1377855,883347,125209,,dash_empty
BBIK,baht,4,ประมาณการหนี้สินสำหรับผลประโยชน์พนักงาน,789857,777764,,,dash_empty
BBIK,baht,4,รวมหนี้สินหมุนเวียน,230476329,314307551,214943135,243269580,subtotal
BBIK,baht,4,รวมหนี้สิน,421530499,501251775,274466246,302920082,subtotal
BBIK,baht,5,ส่วนต่ำจากการเปลี่ยนแปลงสัดส่วนการลงทุนในบริษัทย่อย,-337388203,-337388203,,,parentheses
BBIK,baht,5,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,-2036264,-2481614,-1979946,-2554695,parentheses
BBIK,baht,5,ส่วนเกินมูลค่าหุ้นสามัญ,1487827519,1487827519,1487827519,1487827519,long_num
BBIK,baht,5,รวมส่วนของผู้ถือหุ้น,2225022596,2144125483,2046863455,2016905244,subtotal
BBIK,baht,5,รวมหนี้สินและส่วนของผู้ถือหุ้น,2646553095,2645377258,2321329701,2319825326,subtotal
IIG,baht,1,เงินสดและรายการเทียบเท่าเงินสด,34057239,45714185,13807443,17662105,normal
IIG,baht,1,สินทรัพย์หมุนเวียนอื่น,17809679,13299865,9660545,7417080,normal
IIG,baht,1,สินทรัพย์ไม่หมุนเวียนอื่น,48670245,46959856,40040876,38331647,normal
IIG,baht,2,หนี้สินหมุนเวียนอื่น,75854959,65450647,68234421,58973669,normal
IIG,baht,1,ลูกหนี้การค้าและลูกหนี้หมุนเวียนอื่น - สุทธิ,154810014,153344682,98781252,79791286,note_col
IIG,baht,1,เงินให้กู้ยืมระยะสั้นแก่บริษัทที่เกี่ยวข้องกัน,16900000,16900000,83804764,81204764,note_col
IIG,baht,1,ค่าสิทธิจากการให้ใช้ใบอนุญาตการใช้โปรแกรมคอมพิวเตอร์จ่ายล่วงหน้า,121374709,93419851,89212565,58912021,long_name
IIG,baht,1,ลูกหนี้ตามสัญญาให้บริการที่ยังไม่ได้เรียกเก็บ - ไม่หมุนเวียน,29893412,33915676,29893412,33915676,long_name
IIG,baht,2,เงินกู้ยืมระยะยาวจากสถาบันการเงินที่ถึงกำหนดชำระภายในหนึ่งปี,2700523,2663505,2700523,2663505,long_name
IIG,baht,2,รายได้รับล่วงหน้าส่วนที่จะรับรู้เป็นรายได้ภายในหนึ่งปี,200746795,135246120,113327708,69964512,long_name
IIG,baht,1,เงินลงทุนในบริษัทย่อย,,,296930680,296930680,dash_empty
IIG,baht,1,ค่าความนิยม,232215393,232215393,,,dash_empty
IIG,baht,2,หนี้สินตามสัญญาเช่า,2031227,2484072,,,dash_empty
IIG,baht,2,รายได้รับล่วงหน้า - ไม่หมุนเวียน,59629,110642,,,dash_empty
IIG,baht,3,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,3065364,4768273,,,dash_empty
IIG,baht,1,อุปกรณ์ - สุทธิ,813246,1138985,210721,252978,small_num
IIG,baht,2,หนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,2469226,3436292,692362,1623164,small_num
IIG,baht,3,ยังไม่ได้จัดสรร,-599351199,-583900245,-554062491,-542613112,parentheses
IIG,baht,3,ส่วนเกินมูลค่าหุ้น,749722387,749722387,749722387,749722387,long_num
IIG,baht,3,"หุ้นสามัญจำนวน 123,376,607 หุ้น มูลค่าตราไว้หุ้นละ 0.50 บาท",61688304,61688304,61688304,61688304,long_num
IIG,baht,1,รวมสินทรัพย์หมุนเวียน,500397306,453487426,341272254,288713686,subtotal
IIG,baht,1,รวมสินทรัพย์ไม่หมุนเวียน,503831795,516510585,473311181,485275808,subtotal
IIG,baht,1,รวมสินทรัพย์,1004229101,969998011,814583435,773989494,subtotal
IIG,baht,2,รวมหนี้สินหมุนเวียน,707446417,657603214,513371000,461249439,subtotal
IIG,baht,2,รวมหนี้สิน,783418061,732033108,551549051,499505731,subtotal
IIG,baht,3,รวมส่วนของเจ้าของ,220811040,237964903,263034384,274483763,subtotal
IIG,baht,3,รวมหนี้สินและส่วนของเจ้าของ,1004229101,969998011,814583435,773989494,subtotal
