concept,alias,note
LEGAL_RESERVE,สำรองตามกฎหมาย,
LEGAL_RESERVE,ทุนสำรองตามกฎหมาย,
LEGAL_RESERVE,จัดสรรแล้ว - สำรองตามกฎหมาย,
TREASURY_STOCK,หุ้นทุนซื้อคืน,
RETAINED_EARNINGS,ยังไม่ได้จัดสรร,
RETAINED_EARNINGS,กำไรสะสมยังไม่ได้จัดสรร,
OTHER_EQUITY_COMPONENTS,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,
OTHER_EQUITY_COMPONENTS,องค์ประกอบอื่นของส่วนของเจ้าของ,
NCI,ส่วนของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุมของบริษัทย่อย,
NCI,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,
REVENUE,รายได้จากการขายและให้บริการ,
REVENUE,รายได้จากการขายสินค้าและการให้บริการ,
REVENUE,รายได้จากการขายและการให้บริการ,
REVENUE_SERVICE,รายได้จากการให้บริการ,BBIK แยกเฉพาะบริการ
TOTAL_REVENUE,รวมรายได้,
COGS,ต้นทุนขายและให้บริการ,
COGS,ต้นทุนขายสินค้าและต้นทุนการให้บริการ,
COGS_SERVICE,ต้นทุนการให้บริการ,
GROSS_PROFIT,กำไรขั้นต้น,
SELLING_EXPENSES,ค่าใช้จ่ายในการขาย,
SELLING_EXPENSES,ค่าใช้จ่ายในการขายและจัดจำหน่าย,
ADMIN_EXPENSES,ค่าใช้จ่ายในการบริหาร,
TOTAL_EXPENSES,รวมค่าใช้จ่าย,
OTHER_INCOME,รายได้อื่น,
DIVIDEND_INCOME,รายได้เงินปันผล,
DIVIDEND_INCOME,เงินปันผลรับ,
FX_GAIN,กำไรจากอัตราแลกเปลี่ยน,
FINANCE_INCOME,รายได้ทางการเงิน,
FINANCE_INCOME,รายได้ดอกเบี้ย,
FINANCE_COST,ต้นทุนทางการเงิน,
SHARE_OF_PROFIT_ASSOCIATE,ส่วนแบ่งกำไรของบริษัทร่วมและการร่วมค้าที่ใช้วิธีส่วนได้เสีย,
SHARE_OF_PROFIT_ASSOCIATE,ส่วนแบ่งกำไร (ขาดทุน) จากเงินลงทุนในบริษัทร่วม,
OPERATING_PROFIT,กำไรจากกิจกรรมดำเนินงาน,
OPERATING_PROFIT,กำไร (ขาดทุน) จากการดำเนินงาน,
PROFIT_BEFORE_TAX,กำไรก่อนภาษีเงินได้,
PROFIT_BEFORE_TAX,กำไร (ขาดทุน) ก่อนค่าใช้จ่ายภาษีเงินได้,
INCOME_TAX_EXPENSE,ค่าใช้จ่ายภาษีเงินได้,
NET_PROFIT,กำไรสำหรับงวด,
NET_PROFIT,กำไร (ขาดทุน) สำหรับงวด,
NET_PROFIT,กำไรสุทธิ,
OCI_TOTAL,กำไร (ขาดทุน) เบ็ดเสร็จอื่นสำหรับงวด,
OCI_TOTAL,กำไรขาดทุนเบ็ดเสร็จอื่นสำหรับงวด,
TOTAL_COMPREHENSIVE_INCOME,กำไรเบ็ดเสร็จรวมสำหรับงวด,
TOTAL_COMPREHENSIVE_INCOME,กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,
FX_TRANSLATION,ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,
EPS,กำไรต่อหุ้นขั้นพื้นฐาน,
EPS,กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน,
