concept,alias,note
LITIGATION_PROVISION,ประมาณการหนี้สินค่าเสียหายจากการฟ้องร้อง,v3 MFEC ชื่อถูกตัดขึ้นบรรทัดใหม่
OTHER_CURRENT_LIAB,หนี้สินหมุนเวียนอื่น,
OTHER_CURRENT_FIN_LIAB,หนี้สินทางการเงินหมุนเวียนอื่น,
LEASE_LIABILITIES,หนี้สินตามสัญญาเช่า,
CURRENT_LEASE_LIABILITIES,ส่วนของหนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,v3 MFEC/GABLE ชื่อถูกตัดขึ้นบรรทัดใหม่
CURRENT_LEASE_LIABILITIES,หนี้สินตามสัญญาเช่าที่ถึงกำหนดชำระภายในหนึ่งปี,v3 IIG
EMPLOYEE_BENEFIT_PROVISION,ประมาณการหนี้สินสำหรับผลประโยชน์พนักงาน,
EMPLOYEE_BENEFIT_PROVISION_NONCURRENT,ประมาณการหนี้สินไม่หมุนเวียนสำหรับผลประโยชน์พนักงาน,v5b แยกจากตัวหมุนเวียน (BBIK มีทั้งสองบรรทัด)
DECOMMISSIONING_PROVISION,ประมาณการหนี้สินจากการรื้อถอน,
DECOMMISSIONING_PROVISION,ประมาณการต้นทุนการรื้อถอน,
OTHER_NONCURRENT_LIAB,หนี้สินไม่หมุนเวียนอื่น,
SHARE_CAPITAL,ทุนออกจำหน่ายและชำระเต็มมูลค่าแล้ว,
SHARE_CAPITAL,ทุนที่ออกและชำระแล้ว,
SHARE_CAPITAL,ทุนออกจำหน่ายและชำระแล้ว,
REGISTERED_CAPITAL,ทุนจดทะเบียน,
SHARE_PREMIUM,ส่วนเกินมูลค่าหุ้นสามัญ,
SHARE_PREMIUM,ส่วนเกินมูลค่าหุ้น,
SHARE_SWAP_SURPLUS,ส่วนเกินทุนจากการแลกหุ้น,BBIK
OWNERSHIP_CHANGE_RESERVE,ส่วนต่ำจากการเปลี่ยนแปลงสัดส่วนการลงทุนในบริษัทย่อย,v3 BBIK
OWNERSHIP_CHANGE_RESERVE,ส่วนเกินจากการเปลี่ยนแปลงสัดส่วนการลงทุนในบริษัทย่อย,v3
BUSINESS_COMBINATION_SURPLUS,ส่วนเกินจากการรวมธุรกิจภายใต้การควบคุมเดียวกัน,
BUSINESS_COMBINATION_SURPLUS,ส่วนต่ำกว่าทุนจากการรวมธุรกิจภายใต้การควบคุมเดียวกัน,
SHARE_BASED_PAYMENT_RESERVE,สำรองส่วนทุนจากการจ่ายโดยใช้หุ้นเป็นเกณฑ์,
SHARE_BASED_PAYMENT_RESERVE,ส่วนเกินทุนจากการจ่ายโดยใช้หุ้นเป็นเกณฑ์,
LEGAL_RESERVE,สำรองตามกฎหมาย,
LEGAL_RESERVE,ทุนสำรองตามกฎหมาย,
LEGAL_RESERVE,จัดสรรแล้ว - สำรองตามกฎหมาย,
TREASURY_STOCK,หุ้นทุนซื้อคืน,
RETAINED_EARNINGS,ยังไม่ได้จัดสรร,
RETAINED_EARNINGS,กำไรสะสมยังไม่ได้จัดสรร,
OTHER_EQUITY_COMPONENTS,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,
OTHER_EQUITY_COMPONENTS,องค์ประกอบอื่นของส่วนของเจ้าของ,
NCI,ส่วนของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุมของบริษัทย่อย,
NCI,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,
REVENUE,รายได้จากการขายและให้บริการ,
REVENUE,รายได้จากการขายสินค้าและการให้บริการ,
REVENUE,รายได้จากการขายและการให้บริการ,
REVENUE_SERVICE,รายได้จากการให้บริการ,BBIK แยกเฉพาะบริการ
TOTAL_REVENUE,รวมรายได้,
COGS,ต้นทุนขายและให้บริการ,
COGS,ต้นทุนขายสินค้าและต้นทุนการให้บริการ,
COGS_SERVICE,ต้นทุนการให้บริการ,
GROSS_PROFIT,กำไรขั้นต้น,
SELLING_EXPENSES,ค่าใช้จ่ายในการขาย,
SELLING_EXPENSES,ค่าใช้จ่ายในการขายและจัดจำหน่าย,
ADMIN_EXPENSES,ค่าใช้จ่ายในการบริหาร,
TOTAL_EXPENSES,รวมค่าใช้จ่าย,
OTHER_INCOME,รายได้อื่น,
DIVIDEND_INCOME,รายได้เงินปันผล,
DIVIDEND_INCOME,เงินปันผลรับ,
FX_GAIN,กำไรจากอัตราแลกเปลี่ยน,
FINANCE_INCOME,รายได้ทางการเงิน,
FINANCE_INCOME,รายได้ดอกเบี้ย,
FINANCE_COST,ต้นทุนทางการเงิน,
SHARE_OF_PROFIT_ASSOCIATE,ส่วนแบ่งกำไรของบริษัทร่วมและการร่วมค้าที่ใช้วิธีส่วนได้เสีย,
SHARE_OF_PROFIT_ASSOCIATE,ส่วนแบ่งกำไร (ขาดทุน) จากเงินลงทุนในบริษัทร่วม,
OPERATING_PROFIT,กำไรจากกิจกรรมดำเนินงาน,
OPERATING_PROFIT,กำไร (ขาดทุน) จากการดำเนินงาน,
PROFIT_BEFORE_TAX,กำไรก่อนภาษีเงินได้,
PROFIT_BEFORE_TAX,กำไร (ขาดทุน) ก่อนค่าใช้จ่ายภาษีเงินได้,
INCOME_TAX_EXPENSE,ค่าใช้จ่ายภาษีเงินได้,
NET_PROFIT,กำไรสำหรับงวด,
NET_PROFIT,กำไร (ขาดทุน) สำหรับงวด,
NET_PROFIT,กำไรสุทธิ,
OCI_TOTAL,กำไร (ขาดทุน) เบ็ดเสร็จอื่นสำหรับงวด,
OCI_TOTAL,กำไรขาดทุนเบ็ดเสร็จอื่นสำหรับงวด,
TOTAL_COMPREHENSIVE_INCOME,กำไรเบ็ดเสร็จรวมสำหรับงวด,
TOTAL_COMPREHENSIVE_INCOME,กำไรขาดทุนเบ็ดเสร็จรวมสำหรับงวด,
FX_TRANSLATION,ผลต่างของอัตราแลกเปลี่ยนจากการแปลงค่างบการเงิน,
EPS,กำไรต่อหุ้นขั้นพื้นฐาน,
EPS,กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน,
CONTRACT_ASSETS_CURRENT,สินทรัพย์ที่เกิดจากสัญญา - หมุนเวียน,v4 BBIK
CONTRACT_ASSETS_NONCURRENT,สินทรัพย์ที่เกิดจากสัญญา - ไม่หมุนเวียน,v4
CONTRACT_ACQUISITION_COST_CURRENT,ต้นทุนในการได้มาซึ่งสัญญาที่ทำกับลูกค้า - หมุนเวียน,v4 BBIK
CONTRACT_ACQUISITION_COST_NONCURRENT,ต้นทุนในการได้มาซึ่งสัญญาที่ทำกับลูกค้า - ไม่หมุนเวียน,v4
UNBILLED_RECEIVABLES_CURRENT,ลูกหนี้ตามสัญญาให้บริการที่ยังไม่ได้เรียกเก็บ - หมุนเวียน,v4 IIG
UNBILLED_RECEIVABLES_NONCURRENT,ลูกหนี้ตามสัญญาให้บริการที่ยังไม่ได้เรียกเก็บ - ไม่หมุนเวียน,v4 IIG
DEFERRED_REVENUE_NONCURRENT,รายได้รับล่วงหน้า - ไม่หมุนเวียน,v4 IIG
SHARE_CAPITAL_DESC,หุ้นสามัญ 441453555 หุ้น มูลค่าหุ้นละ 1 บาท,v4 MFEC จดทะเบียน=ออกจำหน่าย ค่าเท่ากัน
SHARE_CAPITAL_DESC,หุ้นสามัญ 707500000 หุ้น มูลค่าหุ้นละ 1 บาท,v4 GABLE ทุนจดทะเบียน (ground truth เก็บบรรทัดนี้)
ISSUED_CAPITAL_DESC,หุ้นสามัญ 700021420 หุ้น มูลค่าหุ้นละ 1 บาท,v4 GABLE ทุนที่ออกและชำระแล้ว
SHARE_CAPITAL_DESC,หุ้นสามัญจำนวน 123376607 หุ้น มูลค่าตราไว้หุ้นละ 0.50 บาท,v4 IIG ทุนที่ออกและชำระแล้ว (ground truth เก็บบรรทัดนี้)
REGISTERED_CAPITAL_DESC,หุ้นสามัญจำนวน 165671320 หุ้น มูลค่าตราไว้หุ้นละ 0.50 บาท,v4 IIG ทุนจดทะเบียน
MANAGEMENT_FEE_INCOME,รายได้ค่าบริหารจัดการ,v5 GABLE
DIVIDEND_INCOME,เงินปันผลรับจากบริษัทย่อย,v5 IIG
COGS_LICENSE,ต้นทุนจากการให้ใช้ใบอนุญาตการใช้โปรแกรมคอมพิวเตอร์,v5 IIG
OTHER_EXPENSES,ค่าใช้จ่ายอื่น,v5
PROFIT_BEFORE_EXPENSES,กำไรก่อนค่าใช้จ่าย,v5 GABLE
ECL,ผลขาดทุนด้านเครดิตที่คาดว่าจะเกิดขึ้น,v5 IIG
IMPAIRMENT_ASSOCIATE,ขาดทุนจากการด้อยค่าของเงินลงทุนในบริษัทร่วม,v5 IIG
LOSS_ON_DECONSOLIDATION,ขาดทุนสุทธิจากการสูญเสียการควบคุมในบริษัทย่อย,v5 IIG
SHARE_OF_PROFIT_ASSOCIATE,ส่วนแบ่งขาดทุนในบริษัทร่วมและการร่วมค้า,v5 IIG
PROFIT_BEFORE_FINANCE_TAX,กำไรก่อนต้นทุนทางการเงินและภาษีเงินได้,v5
PROFIT_BEFORE_FINANCE_TAX,ขาดทุนก่อนต้นทุนทางการเงินและภาษีเงินได้,v5 IIG
PROFIT_BEFORE_TAX,ขาดทุนก่อนภาษีเงินได้,v5 IIG
INCOME_TAX_EXPENSE,ผลประโยชน์ (ค่าใช้จ่าย) ภาษีเงินได้,v5 IIG
INCOME_TAX_EXPENSE,รายได้ (ค่าใช้จ่าย) ภาษีเงินได้,v5
FV_LOSS_FIN_ASSETS,ขาดทุนจากการวัดมูลค่ายุติธรรมของสินทรัพย์ทางการเงิน,v5 BBIK
ACTUARIAL_GAIN,กำไรจากการประมาณการตามหลักคณิตศาสตร์ประกันภัย,v5 BBIK
OCI_RECLASSIFIABLE_TOTAL,รวมรายการที่อาจถูกจัดประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,v5
OCI_NON_RECLASSIFIABLE_TOTAL,รวมรายการที่จะไม่ถูกจัดประเภทใหม่ไว้ในกำไรหรือขาดทุนในภายหลัง,v5
OCI_TOTAL,กำไร (ขาดทุน) เบ็ดเสร็จอื่นสำหรับงวด - สุทธิจากภาษี,v5 BBIK
EPS,กำไร (บาทต่อหุ้น),v5 BBIK
EPS,ขาดทุน (บาทต่อหุ้น),v5 IIG
EPS,กำไรต่อหุ้น (บาท),v5
WEIGHTED_AVG_SHARES,จำนวนหุ้นสามัญถัวเฉลี่ยถ่วงน้ำหนัก (หุ้น),v5 BBIK
PREPAID_SERVICE_COST_NONCURRENT,สินทรัพย์ไม่หมุนเวียน ต้นทุนงานบริการจ่ายล่วงหน้า,v5b MFEC ชื่อซ้ำกับตัวหมุนเวียนเป๊ะ
DERIVATIVE_ASSETS_NONCURRENT,สินทรัพย์ตราสารอนุพันธ์ไม่หมุนเวียน,v5b MFEC
CURRENT_LEASE_LIABILITIES,ส่วนของหนี้สินระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี - หนี้สินตามสัญญาเช่า,v5b BBIK หัวข้อย่อยอยู่คนละบรรทัด
EMPLOYEE_BENEFIT_PROVISION,ส่วนของหนี้สินระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี - ประมาณการหนี้สินสำหรับผลประโยชน์พนักงาน,v5b BBIK
SHORT_TERM_BORROWINGS_RELATED,เงินกู้ยืมระยะสั้นจากกิจการที่เกี่ยวข้องกัน,v5c AIS CPF
SHORT_TERM_BORROWINGS_RELATED,เงินกู้ยืมระยะสั้นจากบริษัทย่อย,v5c PRG
SHORT_TERM_BORROWINGS_RELATED,เงินกู้ยืมระยะสั้นจากบริษัทที่เกี่ยวข้องกัน,v5c
LONG_TERM_BORROWINGS_RELATED,เงินกู้ยืมระยะยาวจากกิจการที่เกี่ยวข้องกัน,v5c
LONG_TERM_BORROWINGS_RELATED,เงินกู้ยืมระยะยาวจากบริษัทย่อย,v5c
OTHER_NONCURRENT_FIN_LIAB,หนี้สินทางการเงินไม่หมุนเวียนอื่น,v5c AIS PTT CPF
LONG_TERM_INVEST,เงินลงทุนในสินทรัพย์ทางการเงินระยะยาวอื่น,v5c PTT
LONG_TERM_INVEST,เงินลงทุนระยะยาวอื่น,v5c
INVENTORY_SUPPLIES,พัสดุคงเหลือ,v5c PTT
DEBENTURES,หุ้นกู้,v5c CPF
LONG_TERM_BORROWINGS,เงินกู้ยืมระยะยาว,v5c AIS
LONG_TERM_BORROWINGS,เงินกู้ยืมระยะยาวจากสถาบันการเงิน,v5c
OWNERSHIP_CHANGE_RESERVE,ส่วนเกินทุนจากการเปลี่ยนแปลงสัดส่วนการลงทุนในบริษัทย่อย,v5c PTT
OWNERSHIP_CHANGE_RESERVE,ส่วนต่ำทุนจากการเปลี่ยนแปลงสัดส่วนการลงทุนในบริษัทย่อย,v5c
LONG_TERM_LOANS,เงินให้กู้ยืมระยะยาว,v5c PTT (สินทรัพย์ อย่าสับกับ "เงินกู้ยืมระยะยาว" ที่เป็นหนี้สิน)
SHORT_TERM_LOANS,เงินให้กู้ยืมระยะสั้น,v5c
SHORT_TERM_BORROWINGS,เงินกู้ยืมระยะสั้น,v5c PTT (หนี้สิน)
LONG_TERM_BORROWINGS,เงินกู้ยืมระยะยาว,v5c PTT (หนี้สิน)
LONG_TERM_LIABILITIES,หนี้สินระยะยาว,v5d AIS
OWNERSHIP_CHANGE_RESERVE,ส่วนต่ำจากการเปลี่ยนแปลงสัดส่วนการถือหุ้นในบริษัทย่อย,v5d AIS
OWNERSHIP_CHANGE_RESERVE,ส่วนเกินจากการเปลี่ยนแปลงสัดส่วนการถือหุ้นในบริษัทย่อย,v5d
PROFIT_ATTRIB_PARENT,การแบ่งปันกำไร ส่วนที่เป็นของผู้ถือหุ้นของบริษัทฯ,v6 แยกด้วยหัวข้อกลุ่ม
PROFIT_ATTRIB_PARENT,การแบ่งปันกำไร ส่วนที่เป็นของผู้ถือหุ้นของบริษัท,v6 แยกด้วยหัวข้อกลุ่ม
PROFIT_ATTRIB_PARENT,การแบ่งปันกำไร ส่วนที่เป็นของบริษัทใหญ่,v6 แยกด้วยหัวข้อกลุ่ม
PROFIT_ATTRIB_PARENT,การแบ่งปันกำไร ส่วนของผู้เป็นเจ้าของของบริษัท,v6 แยกด้วยหัวข้อกลุ่ม
PROFIT_ATTRIB_PARENT,การแบ่งปันกำไร ส่วนที่เป็นของผู้เป็นเจ้าของของบริษัทใหญ่,v6 แยกด้วยหัวข้อกลุ่ม
PROFIT_ATTRIB_NCI,การแบ่งปันกำไร ส่วนที่เป็นของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุมของบริษัทย่อย,v6 แยกด้วยหัวข้อกลุ่ม
PROFIT_ATTRIB_NCI,การแบ่งปันกำไร ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,v6 แยกด้วยหัวข้อกลุ่ม
PROFIT_ATTRIB_NCI,การแบ่งปันกำไร ส่วนที่เป็นของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุม,v6 แยกด้วยหัวข้อกลุ่ม
PROFIT_ATTRIB_PARENT,การแบ่งปันกำไร (ขาดทุน) ส่วนที่เป็นของผู้ถือหุ้นของบริษัทฯ,v6 แยกด้วยหัวข้อกลุ่ม
PROFIT_ATTRIB_PARENT,การแบ่งปันกำไร (ขาดทุน) ส่วนที่เป็นของผู้ถือหุ้นของบริษัท,v6 แยกด้วยหัวข้อกลุ่ม
PROFIT_ATTRIB_PARENT,การแบ่งปันกำไร (ขาดทุน) ส่วนที่เป็นของบริษัทใหญ่,v6 แยกด้วยหัวข้อกลุ่ม
PROFIT_ATTRIB_PARENT,การแบ่งปันกำไร (ขาดทุน) ส่วนของผู้เป็นเจ้าของของบริษัท,v6 แยกด้วยหัวข้อกลุ่ม
PROFIT_ATTRIB_PARENT,การแบ่งปันกำไร (ขาดทุน) ส่วนที่เป็นของผู้เป็นเจ้าของของบริษัทใหญ่,v6 แยกด้วยหัวข้อกลุ่ม
PROFIT_ATTRIB_NCI,การแบ่งปันกำไร (ขาดทุน) ส่วนที่เป็นของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุมของบริษัทย่อย,v6 แยกด้วยหัวข้อกลุ่ม
PROFIT_ATTRIB_NCI,การแบ่งปันกำไร (ขาดทุน) ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,v6 แยกด้วยหัวข้อกลุ่ม
PROFIT_ATTRIB_NCI,การแบ่งปันกำไร (ขาดทุน) ส่วนที่เป็นของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุม,v6 แยกด้วยหัวข้อกลุ่ม
TCI_ATTRIB_PARENT,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จรวม ส่วนที่เป็นของผู้ถือหุ้นของบริษัทฯ,v6 แยกด้วยหัวข้อกลุ่ม
TCI_ATTRIB_PARENT,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จรวม ส่วนที่เป็นของผู้ถือหุ้นของบริษัท,v6 แยกด้วยหัวข้อกลุ่ม
TCI_ATTRIB_PARENT,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จรวม ส่วนที่เป็นของบริษัทใหญ่,v6 แยกด้วยหัวข้อกลุ่ม
TCI_ATTRIB_PARENT,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จรวม ส่วนของผู้เป็นเจ้าของของบริษัท,v6 แยกด้วยหัวข้อกลุ่ม
TCI_ATTRIB_PARENT,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จรวม ส่วนที่เป็นของผู้เป็นเจ้าของของบริษัทใหญ่,v6 แยกด้วยหัวข้อกลุ่ม
TCI_ATTRIB_NCI,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จรวม ส่วนที่เป็นของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุมของบริษัทย่อย,v6 แยกด้วยหัวข้อกลุ่ม
TCI_ATTRIB_NCI,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จรวม ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,v6 แยกด้วยหัวข้อกลุ่ม
TCI_ATTRIB_NCI,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จรวม ส่วนที่เป็นของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุม,v6 แยกด้วยหัวข้อกลุ่ม
TCI_ATTRIB_PARENT,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จ ส่วนที่เป็นของผู้ถือหุ้นของบริษัทฯ,v6 แยกด้วยหัวข้อกลุ่ม
TCI_ATTRIB_PARENT,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จ ส่วนที่เป็นของผู้ถือหุ้นของบริษัท,v6 แยกด้วยหัวข้อกลุ่ม
TCI_ATTRIB_PARENT,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จ ส่วนที่เป็นของบริษัทใหญ่,v6 แยกด้วยหัวข้อกลุ่ม
TCI_ATTRIB_PARENT,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จ ส่วนของผู้เป็นเจ้าของของบริษัท,v6 แยกด้วยหัวข้อกลุ่ม
TCI_ATTRIB_PARENT,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จ ส่วนที่เป็นของผู้เป็นเจ้าของของบริษัทใหญ่,v6 แยกด้วยหัวข้อกลุ่ม
TCI_ATTRIB_NCI,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จ ส่วนที่เป็นของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุมของบริษัทย่อย,v6 แยกด้วยหัวข้อกลุ่ม
TCI_ATTRIB_NCI,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จ ส่วนที่เป็นของส่วนได้เสียที่ไม่มีอำนาจควบคุม,v6 แยกด้วยหัวข้อกลุ่ม
TCI_ATTRIB_NCI,การแบ่งปันกำไรขาดทุนเบ็ดเสร็จ ส่วนที่เป็นของผู้มีส่วนได้เสียที่ไม่มีอำนาจควบคุม,v6 แยกด้วยหัวข้อกลุ่ม
EPS,กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน ส่วนที่เป็นของผู้ถือหุ้นของบริษัทฯ,v6
EPS,กำไรต่อหุ้นขั้นพื้นฐาน ส่วนที่เป็นของผู้ถือหุ้นของบริษัทฯ,v6
EPS,กำไร (ขาดทุน) ต่อหุ้นขั้นพื้นฐาน ส่วนที่เป็นของผู้ถือหุ้นของบริษัท,v6
EPS,กำไรต่อหุ้นขั้นพื้นฐาน ส่วนที่เป็นของผู้ถือหุ้นของบริษัท,v6
