company,unit,page,section,item,con_cur,con_prev,sep_cur,sep_prev,trap
TRUE,thousand,4,หนี้สินหมุนเวียน,ส่วนของหนี้สินระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,58915538,65511378,55501621,53393745,long_name
TRUE,thousand,4,หนี้สินหมุนเวียน,หนี้สินตามสัญญาเช่าส่วนที่ถึงกำหนดชำระภายในหนึ่งปี,18072360,17435729,165106,46299,long_name
TRUE,thousand,4,หนี้สินหมุนเวียน,ภาษีเงินได้นิติบุคคลค้างจ่าย,311559,278965,,,dash_empty
TRUE,thousand,4,หนี้สินหมุนเวียน,หนี้สินหมุนเวียนอื่น,2022414,2630487,249783,754905,normal
TRUE,thousand,4,หนี้สินหมุนเวียน,รวมหนี้สินหมุนเวียน,159328025,170363434,70156078,66239579,subtotal
TRUE,thousand,4,หนี้สินไม่หมุนเวียน,เงินกู้ยืมระยะยาว,260342352,259051717,236334930,235042647,long_num
TRUE,thousand,4,หนี้สินไม่หมุนเวียน,หนี้สินอนุพันธ์ทางการเงิน,8166919,9779281,7880659,9041703,normal
TRUE,thousand,4,หนี้สินไม่หมุนเวียน,หนี้สินภาษีเงินได้รอการตัดบัญชี,3982144,4087323,,,dash_empty
TRUE,thousand,4,หนี้สินไม่หมุนเวียน,หนี้สินตามสัญญาเช่า,87935454,90052042,268364,82904,normal
TRUE,thousand,4,หนี้สินไม่หมุนเวียน,หนี้สินภายใต้สัญญาและใบอนุญาตให้ดำเนินการ,34039948,37683370,,,dash_empty
TRUE,thousand,4,หนี้สินไม่หมุนเวียน,ภาระผูกพันผลประโยชน์พนักงาน,2767321,2721742,1156614,1143393,normal
TRUE,thousand,4,หนี้สินไม่หมุนเวียน,ประมาณการหนี้สินอื่น,8051307,8027727,81829,81494,normal
TRUE,thousand,4,หนี้สินไม่หมุนเวียน,หนี้สินไม่หมุนเวียนอื่น,7160632,7316009,,,dash_empty
TRUE,thousand,4,หนี้สินไม่หมุนเวียน,รวมหนี้สินไม่หมุนเวียน,412446077,418719211,245722396,245392141,subtotal
TRUE,thousand,4,หนี้สินไม่หมุนเวียน,รวมหนี้สิน,571774102,589082645,315878474,311631720,subtotal
TRUE,thousand,5,ทุนจดทะเบียน,"ทุนจดทะเบียน - หุ้นสามัญ 34,552,100,801 หุ้น มูลค่าที่ตราไว้หุ้นละ 4 บาท",138208403,138208403,138208403,138208403,long_num
TRUE,thousand,5,ทุนจดทะเบียน,"ทุนที่ออกและชำระเต็มมูลค่าแล้ว - หุ้นสามัญ 34,552,100,801 หุ้น จ่ายชำระแล้วหุ้นละ 4 บาท",138208403,138208403,138208403,138208403,long_num
TRUE,thousand,5,ทุนจดทะเบียน,ส่วนเกินมูลค่าหุ้น,145075526,145075526,137722481,137722481,long_num
TRUE,thousand,5,ทุนจดทะเบียน,ส่วนเกินมูลค่าหุ้นสามัญซื้อคืน,51060,51060,51060,51060,normal
TRUE,thousand,5,ทุนจดทะเบียน,ทุนสำรองตามกฎหมาย,2059976,2059976,2534392,2534392,normal
TRUE,thousand,5,ทุนจดทะเบียน,กําไรสะสม (ขาดทุนสะสม),-201261804,-207850524,24497435,24166681,parentheses
TRUE,thousand,5,ทุนจดทะเบียน,องค์ประกอบอื่นของส่วนของเจ้าของ,-1651335,-2056230,-1251881,-1654419,parentheses
TRUE,thousand,5,ทุนจดทะเบียน,รวมส่วนของผู้เป็นเจ้าของบริษัท,82481826,75488211,301761890,301028598,subtotal
TRUE,thousand,5,ทุนจดทะเบียน,ส่วนได้เสียที่ไม่มีอำนาจควบคุม,-332113,-340759,,,parentheses
TRUE,thousand,5,ทุนจดทะเบียน,รวมส่วนของเจ้าของ,82149713,75147452,301761890,301028598,subtotal
TRUE,thousand,5,ทุนจดทะเบียน,รวมหนี้สินและส่วนของเจ้าของ,653923815,664230097,617640364,612660318,subtotal
