company,unit,page,item,col_index,หัวคอลัมน์ที่ตัวสกัดอ่านได้,value
CPF,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,6,ยังไม่ได้ จัดสรร,50556240
CPF,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,7,งบการเงินเฉพาะกิจการ หุน้ ทุน ซื้ อคืน,-3666565
CPF,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,8,หุน้ กูด้ อ้ ยสิ ทธิ ที่มีลกั ษณะ คล้ายทุน,26932000
CPF,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,9,สารองการ ป้ องกัน ความเสี่ ยง กระแสเงินสด,-4367
CPF,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,10,องค์ประกอบอื่นของส่ สารอง การเปลี่ยนแปลง ในมูลค่ายุติธรรม,361367
CPF,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,11,วนของผูถ้ ือหุน้ สารอง การตีราคา สิ นทรัพย์ใหม่,9665957
CPF,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,12,รวม องค์ประกอบอื่น ของ ส่ วนของผูถ้ ือหุน้,10022957
CPF,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,13,(หน่ วย: พันบาท) รวมส่ วนของ ผูถ้ ือหุน้,155928374
GABLE,thousand,9,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,0,ําระแล้ว,700021
GABLE,thousand,9,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,1,ส่วนเก ินมูลค ่า หุน้ สามัญ,932329
GABLE,thousand,9,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,2,ส่วนเก ินทุน จากการรวมธุรก ิจ ภายใต้การควบค ุม เดียวก ัน,134623
GABLE,thousand,9,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,3,ส่วนเก ินทุน จากการเปลียB นแปลง สัดส่วนการถือหุน้ ในบริษทั ย่อย,1658
GABLE,thousand,9,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,4,ส่วนของผถ้ ู อื หุน้ ของบริษทั สํารองส่วนทุนจาก การจ่ายโดยใช้ หุน้ เป็,7403
GABLE,thousand,9,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,5,งบการเงินรวม ฯ ก ําไรสะสม จัดสรรแล้ว,70750
GABLE,thousand,9,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,6,ยังไม่ไ ด้จัดสรร,351295
GABLE,thousand,9,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,7,องค ์ประกอบอืนB ของส่วนของผถ้ ู อื หุน้ ก ําไรขาดทุนเบ็ดเสร็จอืนB ผลต่,-24
GABLE,thousand,9,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,8,รวม ส่วนของผถ้ ู อื หุน้ ของบริษทั ฯ,2198055
GABLE,thousand,9,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,9,(ยังไม่ไ ด้ตรวจสอบ ส่วนได้เสียทีB ไม่มีอ ํานาจควบค ุม ของบริษทั ย่อย,23656
GABLE,thousand,9,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,10,แต่สอบทานแล้ว) (หน่วย: พันบาท) รวม ส่วนของผถ้ ู อื หุน้,2221711
GABLE,thousand,10,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,0,ทุนเรือนหุน้ ําระแล้ว,700021
GABLE,thousand,10,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,1,ส่วนเก ินมูลค ่า หุน้ สามัญ,932329
GABLE,thousand,10,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,2,สํารองส่วนทุนจาก การจ่ายโดยใช้ หุน้ เป็ นเกณฑ์,7379
GABLE,thousand,10,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,3,งบการเงินเฉพาะกิจการ ก ําไรสะสม จัดสรรแล้ว,70750
GABLE,thousand,10,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,4,(ยังไม่ไ ด้ตรวจสอบ ยังไม่ไ ด้จัดสรร,318946
GABLE,thousand,10,ยอดคงเหลือ ณ วันที< 1 มกราคม 2568,5,แต่สอบทานแล้ว) (หน่วย: พันบาท) รวมส่วนของ ผถ้ ู อื หุน้,2029425
SAT,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,0,ทุน ที่ออกและ ชาระแล้ว,425194
SAT,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,1,ส่ วนเกิน มูลค่าหุ้น,716444
SAT,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,2,กาไรสะสม ทุนสารอง ตามกฎหมาย,55671
SAT,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,3,ยังไม่ได้ จัดสรร,7121534
SAT,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,4,งบการเงินรวม องค์ประกอบอื่น ของส่ วนของผูถ้ ือหุ ้น สารอง การเปลี่ยนแป,18160
SAT,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,5,รวมส่ วนของ บริ ษทั ใหญ่,8337003
SAT,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,6,ส่ วนได้เสี ย ที่ไม่มีอานาจ ควบคุม,-7710
SAT,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,7,รวมส่ วนของ ผูถ้ ือหุ ้น,8329293
SAT,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,0,ทุน ที่ออกและ ชาระแล้ว,425194
SAT,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,1,ส่ วนเกิน มูลค่าหุน้,716444
SAT,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,2,กาไรสะสม ทุนสารอง ตามกฎหมาย,42671
SAT,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,3,งบการเงินเฉพาะกิจการ ยังไม่ได้ จัดสรร (พันบาท),4240719
SAT,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,4,องค์ประกอบอื่น ของส่ วนของผูถ้ ือหุน้ สารอง การเปลี่ยนแปลง ในมูลค่ายุต,279
SAT,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,5,รวมส่วนของ ผูถ้ ือหุน้,5425307
SCB,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,0,ทุนที่ออกและชาระแล้ว บุริมสิ ทธิ,6412
SCB,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,1,หุน้ สามัญ,33985510
SCB,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,2,ส่ หุน้ บุริมสิ ทธิ,2508
SCB,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,3,วนเกินมูลค่าหุน้ หุน้ สามัญ,11121683
SCB,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,4,กาไร (ขาดทุน) จากการวัด มูลค่าเงินลงทุน ในตราสารหนี้ ด้วยมูลค่ายุติธรร,1334632
SCB,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,5,องค์ประกอบอื่นของส่ ขาดทุน จากการแปลงค่า งบการเงิน จากการ ดาเนิ นงาน ใ,-882352
SCB,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,6,งบการเงินรวม วนของเจ้าของ กาไร จากเงินลงทุน ในตราสารทุน ที่กาหนดให้วดั,1270973
SCB,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,7,การเปลี่ยนแปลง ในส่ วนเกินทุน จากการตีราคา สิ นทรัพย์,20748455
SCB,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,8,รวม องค์ประกอบ อื่นของส่ วน ของเจ้าของ ตามกฎหมาย,22471708
SCB,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,9,ทุนสารอง,7000000
SCB,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,10,กาไรสะสม ยังไม่ได้จดั สรร ของธนาคาร,370870744
SCB,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,11,รวมส่ วนที่เป็ น,445458565
SCB,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,12,ส่ วนได้เสี ยที่ ไม่มีอานาจ ควบคุม,307647
SCB,thousand,9,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,13,รวม,445766212
SCB,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,0,ทุนที่ออกและชาระแล้ว บุริมสิ ทธิ,6412
SCB,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,1,หุน้ สามัญ,33985510
SCB,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,2,ส่ หุน้ บุริมสิ ทธิ,2508
SCB,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,3,วนเกินมูลค่าหุน้ หุน้ สามัญ,11121683
SCB,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,4,กาไร จากการวัด มูลค่าเงินลงทุน ในตราสารหนี้ ด้วยมูลค่ายุติธรรม ผ่านกาไ,372024
SCB,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,5,กาไร (ขาดทุน) จากการแปลงค่า งบการเงิน จากการ ดาเนิ นงาน ในต่างประเทศ,-887667
SCB,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,6,งบการเงินรวม องค์ประกอบอื่นของส่ วนของเจ้าของ กาไร จากเงินลงทุน ในตราส,1098376
SCB,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,7,การเปลี่ยนแปลง ในส่ วนเกินทุน จากการตีราคา สิ นทรัพย์ (พันบาท),21146419
SCB,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,8,รวม องค์ประกอบ อื่นของส่ วน ของเจ้าของ,21729152
SCB,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,9,ทุนสารอง ตามกฎหมาย,7000000
SCB,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,10,กาไรสะสม ยังไม่ได้จดั สรร,364082179
SCB,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,11,รวมส่ วนที่เป็ น ของธนาคาร,437927444
SCB,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,12,ส่ วนได้เสี ยที่ ไม่มีอานาจ ควบคุม,280068
SCB,thousand,10,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,13,รวม,438207512
SCB,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,0,ทุนที่ออกและชาระแล้ว ทธิ,6412
SCB,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,1,หุ้นสามัญ,33985510
SCB,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,2,ส่ หุ้นบุริมสิ ทธิ,2508
SCB,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,3,วนเกินมูลค่าหุ้น หุ้นสามัญ,11121683
SCB,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,4,กาไร (ขาดทุน) จากการวัด มูลค่าเงินลงทุน ในตราสารหนี้ ด้วยมูลค่ายุติธรร,1334631
SCB,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,5,องค์ประกอบอื่นของส่ ขาดทุน จากการแปลงค่า งบการเงิน จากการ ดาเนินงาน ใน,-680116
SCB,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,6,งบการเงินเฉพาะธนาคาร วนของเจ้าของ กาไร จากเงินลงทุน ในตราสารทุน ที่กาห,1264856
SCB,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,7,การเปลี่ยนแปลง วนเกินทุน จากการตีราคา สิ นทรัพย์,19798554
SCB,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,8,รวม องค์ประกอบ อื่นของส่ วน ของเจ้าของ,21717925
SCB,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,9,กาไรสะสม ทุนสารอง ตามกฎหมาย,7000000
SCB,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,10,ยังไม่ได้จดั สรร,370166676
SCB,thousand,11,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2569,11,รวม,444000714
SCB,thousand,12,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,0,ทุนที่ออกและชาระแล้ว ทธิ,6412
SCB,thousand,12,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,1,หุน้ สามัญ,33985510
SCB,thousand,12,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,2,หุน้ บุริมสิ ทธิ,2508
SCB,thousand,12,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,3,ส่วนเกินมูลค่าหุน้ หุน้ สามัญ,11121683
SCB,thousand,12,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,4,กาไร จากการวัด มูลค่าเงินลงทุน ในตราสารหนี้ ด้วยมูลค่ายุติธรรม ผ่านกาไ,372023
SCB,thousand,12,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,5,กาไร (ขาดทุน) จากการแปลงค่า งบการเงิน จากการ ดาเนิ นงาน ในต่างประเทศ,-1243598
SCB,thousand,12,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,6,งบการเงินเฉพาะธนาคาร องค์ประกอบอื่นของส่วนของเจ้าของ กาไร จากเงินลงทุน,1093155
SCB,thousand,12,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,7,การเปลี่ยนแปลง ในส่วนเกินทุน จากการตีราคา สิ นทรัพย์,20191723
SCB,thousand,12,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,8,รวม องค์ประกอบ อื่นของส่วน ของเจ้าของ,20413303
SCB,thousand,12,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,9,กาไรสะสม ทุนสารอง ตามกฎหมาย,7000000
SCB,thousand,12,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,10,ยังไม่ได้จดั สรร,363188948
SCB,thousand,12,ยอดคงเหลือ ณ วันที่ 1 มกราคม 2568,11,รวม,435718364
